Begin Time - msec,End Time - msec,Duration - msec,Block,Trial no,Stimulus,Handedness,Comments_CF,Comments_DF,NMM,Compound signs,Comments_ZS,Response Translation,Response Status,Lemma Gloss (ASLLEX),Comment_NC,ID Gloss ASLLEX,ID Gloss ASLLEX OLD,CleanGloss,Matched,EntryID,SignFrequency(Z),Code,Iconicity(Z),LexicalClass,Compound.2.0,Handshape.2.0,SelectedFingers.2.0,ThumbPosition.2.0,SignType.2.0,Movement.2.0,MajorLocation.2.0,MinorLocation.2.0,Contact.2.0,Parameter.Neighborhood.Density.2.0
1296955,1298283,1328,O2,416,obj174gas.jpg,2-,,,,,,GAS_n,Accept++,,,gas,gas,gas,True,gas,1.098,A_03_090,0.12,Noun,0.0,a,t,Open,AsymmetricalDifferentHandshape,Straight,Hand,FingerRadial,1.0,414.0
1299536,1300707,1171,O2,417,sandwich.png,2+,,,,,,SANDWICH_n,Accept++,,,sandwich,sandwich.2,sandwich,True,sandwich,-0.177,A_01_015,-0.274,Noun,0.0,flat_b,imrp,Open,AsymmetricalDifferentHandshape,Straight,Head,HeadAway,0.0,361.0
1301839,1303239,1400,O2,418,obj148eye.jpg,1,,,,,,EYE_n,Accept++,,,eyes,eyes,eyes,True,eyes,0.307,C_01_062,2.082,Noun,0.0,1,i,Closed,OneHanded,Curved,Head,Eye,1.0,267.0
1305381,1306596,1215,O2,419,obj162floor.jpg,2+,,,,,,FLOOR_n,Accept++,,,floor,floor,floor,True,floor,-0.266,D_01_062,0.405,Noun,0.0,open_b,imrp,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,1.0,541.0
1307877,1309105,1228,O2,420,carrot2.png,1,,,NMM,,,CARROT_n,Accept++,,,carrot,carrot.1,carrot,True,carrot,-0.291,A_02_083,0.205,Noun,0.0,s,imrp,Closed,OneHanded,,Head,Mouth,0.0,246.0
1310151,1311337,1186,O2,421,obj276music.jpg,2-,,,,,,MUSIC_n,Accept++,,,music,music,music,True,music,0.065,A_01_080,-0.736,Noun,0.0,open_b,imrp,Open,OneHanded,Curved,Arm,ArmAway,0.0,87.0
1312690,1314290,1600,O2,422,bicycle.png,2+,,,,,,BICYCLE_n,Accept++,,,bicycle,bicycle,bicycle,True,bicycle,0.56,D_02_026,1.161,Noun,0.0,s,imrp,Closed,SymmetricalOrAlternating,Circular,Neutral,Neutral,0.0,166.0
1319343,1321157,1814,O2,424,obj400skirt.jpg,2+,,,,,,SKIRT_n,Accept++,,,skirt,skirt,skirt,True,skirt,-0.207,A_01_046,1.021,Noun,0.0,5,imrp,Open,SymmetricalOrAlternating,Curved,Body,Hips,0.0,120.0
1322382,1323696,1314,O2,425,sun.png,1,,,,,,SUN_n,Accept++,,,sun,sun,sun,True,sun,0.222,C_02_003,0.877,Noun,0.0,flat_o,imrp,Open,OneHanded,Circular,Head,HeadAway,0.0,72.0
1324799,1326256,1457,O2,426,obj154fire.jpg,2+,,,,,,FIRE_n,Accept++,,,fire,fire,fire,True,fire,-0.746,B_03_090,0.292,Noun,0.0,5,imrp,Open,SymmetricalOrAlternating,Circular,Neutral,Neutral,0.0,141.0
1327728,1329356,1628,O2,427,obj350razor.jpg,1,,,,,,RAZOR_n,Accept++,,,razor,razor,razor,True,razor,-0.095,A_01_089,1.169,Noun,0.0,bent_1,i,Closed,OneHanded,Straight,Head,CheekNose,1.0,342.0
1335513,1336841,1328,O2,429,obj127doctor.jpg,2-,,,,,,DOCTOR_n,Accept++,,,doctor,doctor.1,doctor,True,doctor,0.059,A_03_020,0.123,Noun,0.0,flat_o,imrp,Open,OneHanded,Straight,Arm,WristFront,1.0,51.0
1338412,1339712,1300,O2,430,obj129doll.jpg,1,,,,,,DOLL_n,Accept++,,,doll,doll,doll,True,doll,-0.581,C_02_049,-0.751,Noun,0.0,bent_1,i,Closed,OneHanded,Straight,Head,CheekNose,1.0,342.0
1340850,1342122,1272,O2,431,obj409snake.jpg,1,,,,,,SNAKE_n,Accept++,,,snake,snake,snake,True,snake,-0.3,A_01_043,0.658,Noun,0.0,bent_v,im,Closed,OneHanded,Z-shaped,Head,Mouth,0.0,19.0
1343417,1344488,1071,O2,432,obj179girl.jpg,1,,,,,,GIRL_n,Accept++,,,girl,girl,girl,True,girl,0.16,C_03_073,-0.688,Noun,0.0,a,t,Open,OneHanded,Curved,Head,CheekNose,1.0,173.0
1345912,1347441,1529,O2,433,monkey.png,2+,,,,,,MONKEY_n,Accept++,,,monkey,monkey,monkey,True,monkey,-0.363,A_01_016,1.2,Noun,0.0,curved_5,imrp,Open,SymmetricalOrAlternating,,Body,Waist,1.0,49.0
1348552,1350095,1543,O2,434,obj479umbrella.jpg,2-,,,,,,UMBRELLA_n,Accept++,,,umbrella,umbrella,umbrella,True,umbrella,-0.183,A_02_022,0.409,Noun,0.0,s,imrp,Closed,AsymmetricalSameHandshape,Straight,Hand,FingerRadial,1.0,422.0
1351237,1352594,1357,O2,435,obj180glass.jpg,2-,,,,,,CUP_n,Accept++,,,cup,cup,cup,True,cup,0.909,A_01_010,-0.127,Noun,0.0,c,imrp,Open,AsymmetricalDifferentHandshape,Straight,Hand,Palm,1.0,383.0
1353889,1355247,1358,O2,436,obj220jacket.jpg,2+,,,,,,JACKET_n,Accept++,,,jacket,jacket,jacket,True,jacket,-0.106,C_02_008,1.209,Noun,0.0,a,t,Open,SymmetricalOrAlternating,Curved,Body,Shoulder,0.0,134.0
1356457,1358014,1557,O2,437,obj434swing.jpg,2-,,,,,,SWING_n,Accept++,,,swing_2,swing_2,swing_2,True,swing_2,-0.223,F_02_085,0.969,Verb,0.0,bent_v,im,Closed,SymmetricalOrAlternating,Curved,Neutral,Neutral,0.0,263.0
1359153,1360667,1514,O2,438,bear.png,2+,,,,,,BEAR_n,Accept++,,,bear,bear,bear,True,bear,-0.577,D_03_063,-0.051,Noun,0.0,5,imrp,Open,SymmetricalOrAlternating,Straight,Body,TorsoTop,1.0,177.0
1362254,1363754,1500,O2,439,obj509windmill.jpg,2-,,,,,,WINDMILL_n,Accept++,,,windmill,windmill.1,windmill,True,windmill,-0.88,A_02_048,-0.276,Noun,0.0,3,im,Open,AsymmetricalDifferentHandshape,,Hand,FingerTip,1.0,61.0
1365065,1366522,1457,O2,440,train.png,2-,,,,,,TRAIN_n,Accept++,,,train,train,train,True,train,-0.02,B_03_003,-0.698,Noun,0.0,flat_h,im,Closed,DominanceViolation,Straight,Hand,FingerBack,1.0,350.0
1367611,1369297,1686,O2,441,obj044binoculars.jpg,2+,,,,,,BINOCULARS_n,Accept++,,,binoculars,binoculars,binoculars,True,binoculars,-0.801,A_03_074,1.594,Noun,0.0,c,imrp,Open,SymmetricalOrAlternating,Straight,Head,HeadAway,0.0,363.0
1370471,1372013,1542,O2,442,obj224kangaroo.jpg,2+,,,,,,KANGAROO_n,Accept++,,,kangaroo,kangaroo,kangaroo,True,kangaroo,-1.289,D_03_079,1.039,Noun,0.0,flat_b,imrp,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,0.0,486.0
1373276,1374676,1400,O2,443,obj121deer.jpg,2+,,,,,,DEER_n,Accept++,,,deer,deer,deer,True,deer,-0.34,A_03_060,0.827,Noun,0.0,5,imrp,Open,SymmetricalOrAlternating,Straight,Head,Forehead,1.0,378.0
1375907,1377178,1271,O2,444,obj507whistle.jpg,1,,,,,,WHISTLE_n,Accept++,,,whistle,whistle.2,whistle,True,whistle,-0.491,A_02_046,0.47,Noun,0.0,bent_v,im,Closed,OneHanded,Straight,Head,Mouth,1.0,334.0
1378345,1379659,1314,O2,445,obj144egg.jpg,2+,,,,,,EGG_n,Accept++,,,egg,egg,egg,True,egg,0.772,A_03_011,-0.924,Noun,0.0,h,im,Closed,SymmetricalOrAlternating,Curved,Neutral,Neutral,1.0,271.0
1380819,1382319,1500,O2,446,obj188guitar.jpg,2-,,,,,,GUITAR_n,Accept++,,,guitar,guitar,guitar,True,guitar,-0.659,A_02_077,1.92,Noun,0.0,spread_open_e,imrp,Open,OneHanded,Curved,Arm,ArmAway,0.0,21.0
1383641,1385041,1400,O2,447,obj376saw.jpg,2-,,,,,,SAW_n,Accept++,,,wood,wood,wood,True,wood,-0.078,C_03_031,0.132,Noun,0.0,open_b,imrp,Open,AsymmetricalSameHandshape,Straight,Hand,PalmBack,1.0,459.0
1386330,1387744,1414,O2,448,obj510window.jpg,2-,,,,,,WINDOW_n,Accept++,,,window,window,window,True,window,0.786,A_03_042,0.273,Noun,0.0,open_b,imrp,Open,AsymmetricalSameHandshape,Straight,Hand,FingerRadial,1.0,459.0
1389039,1390382,1343,O2,449,bread2.png,2-,,,,,,BREAD_n,Accept++,,,bread,bread,bread,True,bread,0.755,A_02_058,-0.783,Noun,0.0,open_e,imrp,Open,AsymmetricalDifferentHandshape,Straight,Hand,PalmBack,1.0,343.0
1391724,1392909,1185,O2,450,obj189gun.jpg,1,,,,,,GUN_n,Accept++,,,gun,gun,gun,True,gun,-0.409,D_02_046,1.764,Noun,0.0,a,t,Open,OneHanded,,Neutral,Neutral,0.0,178.0
1394505,1395562,1057,O2,451,obj514wolf.jpg,1,,,,,,WOLF_n,Accept++,,,wolf,wolf,wolf,True,wolf,-0.521,A_01_049,-0.191,Noun,0.0,flatspread_5,imrp,Open,OneHanded,Curved,Head,HeadAway,1.0,132.0
1397517,1399003,1486,O2,452,obj061bride.jpg,2-,,,,,,WIFE_n,Accept++,,,wife,wife,wife,True,wife,0.551,D_03_025,-0.698,Noun,1.0,c,imrp,Open,OneHanded,,Head,Chin,1.0,237.0
1400117,1401532,1415,O2,453,drawer.png,2+,,,,,,DRAWER_n,Accept++,,,drawer,drawer,drawer,True,drawer,-0.974,A_01_082,0.137,Noun,0.0,curved_5,imrp,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,0.0,512.0
1403039,1404296,1257,O2,454,obj288orange.jpg,1,,,,,,ORANGE_n,Accept++,,,orange,orange,orange,True,orange,0.605,A_02_020,-0.676,Noun,0.0,o,imrp,Open,OneHanded,,Head,Mouth,1.0,251.0
1410217,1411732,1515,O2,456,obj389sheep.jpg,2-,,,,,,SHEEP_n,Accept++,,,sheep,sheep,sheep,True,sheep,-0.355,A_02_010,-0.58,Noun,0.0,v,im,Closed,OneHanded,Curved,Arm,ForearmBack,1.0,36.0
1413418,1414875,1457,O2,457,obj307pear.jpg,2-,,,,,,PEAR_n,Accept++,,,pear,pear,pear,True,pear,-1.154,F_02_006,-1.019,Noun,0.0,curved_5,imrp,Open,AsymmetricalDifferentHandshape,Straight,Hand,FingerBack,1.0,414.0
1416835,1418321,1486,O2,458,obj401skis.jpg,2+,,,,,,SKIS_n,Accept++,,,ski,ski,ski,True,ski,-0.58,D_02_027,-0.82,Noun,0.0,bent_1,i,Closed,SymmetricalOrAlternating,Straight,Neutral,Neutral,0.0,475.0
1419352,1420881,1529,O2,459,obj168fork.jpg,2-,,,,,,FORK_n,Accept++,,,fork,fork.2,fork_1,True,fork_1,0.237,E_01_049,0.197,Noun,0.0,v,im,Closed,AsymmetricalDifferentHandshape,Straight,Hand,Palm,1.0,368.0
1425621,1426892,1271,O2,461,obj287onion.jpg,1,,,,,,ONION_n,Accept++,,,onion,onion,onion,True,onion,0.68,A_03_038,0.336,Noun,0.0,bent_1,i,Closed,OneHanded,,Head,Eye,1.0,235.0
1428060,1429445,1385,O2,462,obj075candle.jpg,2-,,,,,,CANDLE_n,Accept++,,,candle,candle,candle,True,candle,-0.356,C_03_060,0.325,Noun,0.0,5,imrp,Open,AsymmetricalDifferentHandshape,,Hand,FingerTip,1.0,92.0
1430641,1432112,1471,O2,463,airplane2.png,1,,,,,,AIRPLANE_n,Accept++,,,airplane,airplane,airplane,True,airplane,0.379,D_03_068,-0.616,Noun,0.0,ily,ip,Open,OneHanded,Straight,Neutral,Neutral,0.0,441.0
1433145,1434388,1243,O2,464,apple2.png,1,,,,,,APPLE_n,Accept++,,,apple,apple,apple,True,apple,0.898,A_03_054,-0.88,Noun,0.0,bent_1,i,Closed,OneHanded,,Head,CheekNose,1.0,235.0
1435653,1437110,1457,O2,465,owl.png,2+,,,,,,OWL_n,Accept++,,,owl,owl,owl,True,owl,-0.806,D_01_087,0.581,Noun,0.0,o,imrp,Open,SymmetricalOrAlternating,,Head,Eye,0.0,251.0
1442788,1444159,1371,O2,467,obj393shoe.jpg,2+,,,,,,SHOE_n,Accept++,,,shoes,shoes,shoes,True,shoes,1.202,A_02_057,-0.717,Noun,0.0,s,imrp,Closed,SymmetricalOrAlternating,Straight,Neutral,Neutral,1.0,524.0
1445577,1446834,1257,O2,468,obj515woman.jpg,1,,,,,,WOMAN_n,Accept++,,,woman,woman,woman,True,woman,0.977,C_02_028,-0.717,Noun,1.0,5,imrp,Open,OneHanded,Straight,Head,Chin,1.0,378.0
1448080,1449566,1486,O2,469,obj192hamburger.jpg,2+,,,,,,HAMBURGER_n,Accept++,,,hamburger,hamburger,hamburger,True,hamburger,0.232,A_01_004,0.248,Noun,1.0,c,imrp,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,1.0,488.0
1450651,1452066,1415,O2,470,obj139duck.jpg,1,,,,,,DUCK_n,Accept++,,,duck,duck,duck,True,duck,-0.454,D_01_079,0.743,Noun,0.0,flat_h,im,Open,OneHanded,,Head,Mouth,1.0,224.0
1453231,1454631,1400,O2,471,obj396shower.jpg,1,,,,,,SHOWER_n,Accept++,,,shower,shower,shower,True,shower,0.959,A_02_001,1.085,Noun,0.0,s,imrp,Closed,OneHanded,,Head,HeadAway,0.0,246.0
1455866,1457166,1300,O2,472,helicopter.png,2-,,,,,,HELICOPTER_n,Accept++,,,helicopter,helicopter,helicopter,True,helicopter,-0.911,D_02_042,0.882,Noun,0.0,5,imrp,Open,AsymmetricalDifferentHandshape,Curved,Hand,FingerTip,1.0,216.0
1458603,1460118,1515,O2,473,strawberry2.png,1,,,,,,STRAWBERRY_n,Accept++,,,strawberry,strawberry,strawberry,True,strawberry,-0.84,A_01_068,-0.764,Noun,0.0,f,i,Open,OneHanded,Straight,Head,Mouth,1.0,364.0
1461663,1463277,1614,O2,474,obj506whip.jpg,1,,,,,,WHIP_n,Accept++,,,whip,whip,whip,True,whip,-0.738,A_03_077,1.296,Verb,0.0,baby_o,i,Open,OneHanded,BackAndForth,Neutral,Neutral,0.0,75.0
1467806,1469249,1443,O2,476,hammer2.png,1,,,,,,HAMMER_n,Accept++,,,hammer,hammer,hammer,True,hammer,-1.049,C_02_021,1.42,Noun,0.0,baby_o,i,Open,OneHanded,Straight,Neutral,Neutral,0.0,497.0
1470845,1472345,1500,O2,477,football3.png,2+,,,,,,FOOTBALL_n,Accept++,,,football,football,football,True,football,0.837,A_02_027,-0.604,Noun,0.0,5,imrp,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,1.0,512.0
1475242,1476756,1514,O2,478,obj173trash.jpg,2-,,,,,,TRASH_n,Accept++,,,trash,trash,trash,True,trash,0.446,A_01_035,-0.822,Noun,0.0,1,i,Closed,OneHanded,Curved,Arm,ForearmUlnar,1.0,76.0
1478645,1479945,1300,O2,479,cake2.png,2-,,,,,,CAKE_n,Accept++,,,cake,cake,cake,True,cake,-0.455,D_01_033,-0.485,Noun,0.0,curved_5,imrp,Open,AsymmetricalDifferentHandshape,Straight,Hand,Palm,1.0,414.0
1481583,1482983,1400,O2,480,spider.png,2+,,,,,,SPIDER_n,Accept++,,,spider,spider,spider,True,spider,-0.518,D_03_067,0.987,Noun,0.0,curved_5,imrp,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,1.0,512.0
1484129,1485500,1371,O2,481,motorcycle.png,2-,,,,,,MOTORCYCLE_n,Accept++,,,motorcycle,motorcycle,motorcycle,True,motorcycle,-0.228,D_01_011,1.237,Noun,0.0,s,imrp,Closed,AsymmetricalSameHandshape,,Neutral,Neutral,0.0,210.0
1486687,1488387,1700,O2,482,obj201heart.jpg,2+,,,,,,HEART_n,Accept++,,,heart,heart,heart,True,heart,-0.706,B_03_066,1.328,Noun,0.0,open_8,m,Open,SymmetricalOrAlternating,BackAndForth,Body,TorsoTop,1.0,21.0
1489535,1491150,1615,O2,483,vacuum.png,1,,,,,,VACUUM_n,Accept++,,,vacuum,vacuum,vacuum,True,vacuum,-0.243,D_03_084,0.748,Verb,0.0,baby_o,i,Open,OneHanded,Z-shaped,Neutral,Neutral,0.0,89.0
1492397,1494054,1657,O2,484,rabbit.png,2+,,,,,,RABBIT_n,Accept++,,,rabbit,rabbit,rabbit,True,rabbit,-0.947,C_02_024,0.749,Noun,0.0,h,im,Closed,SymmetricalOrAlternating,,Head,HeadAway,0.0,233.0
1495299,1496870,1571,O2,485,rain.png,2+,,,,,,RAIN_n,Accept++,,,rain,rain,rain,True,rain,0.917,A_03_061,0.897,Noun,0.0,spread_open_e,imrp,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,0.0,443.0
1498148,1499833,1685,O2,486,pants.png,2+,,,,,,PANTS_n,Accept++,,,pants,pants,pants,True,pants,-0.185,A_01_058,0.599,Noun,0.0,open_b,imrp,Open,SymmetricalOrAlternating,Z-shaped,Body,BodyAway,0.0,37.0
1500937,1502379,1442,O2,487,box2.png,2+,,,,,,BOX_n,Accept++,,,box,box,box,True,box,0.283,C_03_025,0.918,Noun,1.0,open_b,imrp,Open,SymmetricalOrAlternating,,Neutral,Neutral,0.0,216.0
1503511,1505011,1500,O2,488,obj241lettuce.jpg,1,,,,,,LETTUCE_n,Accept++,,,lettuce,lettuce,lettuce,True,lettuce,0.239,A_01_083,-0.831,Noun,0.0,spread_open_e,imrp,Open,OneHanded,Straight,Head,HeadTop,1.0,317.0
1509852,1511524,1672,O2,490,obj394shoulder.jpg,1,,,,,,SHOULDER_n,Accept++,,,shoulder,shoulder.1,shoulder,True,shoulder,-0.084,A_02_055,1.765,Noun,0.0,flat_b,imrp,Open,OneHanded,Straight,Body,Shoulder,1.0,165.0
1512648,1514162,1514,O2,491,obj454tiger.jpg,2+,,,,,,TIGER_n,Accept++,,,tiger,tiger,tiger,True,tiger,-0.452,A_01_050,0.266,Noun,0.0,5,imrp,Open,SymmetricalOrAlternating,Straight,Head,CheekNose,0.0,378.0
1515452,1517066,1614,O2,492,stairs.png,1,,,,,,STAIRS_n,Accept++,,,stairs,stairs,stairs,True,stairs,0.734,A_03_048,0.108,Noun,0.0,bent_v,im,Open,OneHanded,Straight,Neutral,Neutral,0.0,455.0
1518291,1519791,1500,O2,493,obj358rock.jpg,2-,,,,,,ROCK_n,Accept++,,,rock,rock,rock,True,rock,-0.163,A_01_030,0.55,Noun,0.0,a,imrp,Open,AsymmetricalSameHandshape,Straight,Hand,PalmBack,1.0,414.0
1520957,1522557,1600,O2,494,boat.png,2+,,,,,,BOAT_n,Accept++,,,boat,boat,boat,True,boat,-0.248,D_01_055,-0.309,Noun,0.0,open_b,imrp,Open,SymmetricalOrAlternating,Curved,Neutral,Neutral,1.0,344.0
1523589,1524989,1400,O2,495,tree.png,2-,,,,,,TREE_n,Accept++,,,tree,tree,tree,True,tree,0.621,A_01_002,0.331,Noun,0.0,5,imrp,Open,OneHanded,,Neutral,Neutral,0.0,190.0
1526096,1527624,1528,O2,496,hat2.png,2+,,,,,,HAT_n,Accept++,,,hat,hat.1,hat,True,hat,0.3,A_02_045,0.941,Noun,0.0,open_b,imrp,Open,OneHanded,Straight,Head,HeadTop,1.0,426.0
1529206,1530778,1572,O2,497,obj269mop.jpg,2+,,,,,,MOP_n,Accept++,,,mop,mop.1,mop,True,mop,-0.145,A_02_090,0.781,Noun,0.0,baby_o,i,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,0.0,497.0
1531823,1533338,1515,O2,498,man.png,1,,,,,,MAN_n,Accept++,,,man,man,man,True,man,0.699,C_01_040,-0.524,Noun,1.0,5,imrp,Open,OneHanded,,Head,Forehead,1.0,252.0
1534484,1535798,1314,O2,499,obj383screwdriver.jpg,2-,,,,,,SCREWDRIVER_n,Accept++,,,screwdriver,screwdriver,screwdriver,True,screwdriver,-0.664,D_02_023,1.205,Noun,0.0,h,im,Closed,AsymmetricalDifferentHandshape,,Hand,Palm,1.0,92.0
1537115,1538600,1485,O2,500,obj356road.jpg,2+,,,,,,ROAD_n,Accept++,,,road,road,road,True,road,0.4,F_02_083,0.388,Noun,0.0,closed_b,imrp,Closed,SymmetricalOrAlternating,Straight,Neutral,Neutral,0.0,475.0
1539573,1540873,1300,O2,501,obj380scissors.jpg,1,,,,,,SCISSORS_n,Accept++,,,scissors,scissors,scissors,True,scissors,0.264,A_01_038,1.877,Noun,0.0,v,im,Closed,OneHanded,,Neutral,Neutral,0.0,146.0
1541812,1543097,1285,O2,502,obj213house.jpg,2+,,,,,,HOUSE_n,Accept++,,,house,house,house,True,house,0.672,D_03_086,1.148,Noun,0.0,flat_b,imrp,Open,SymmetricalOrAlternating,Curved,Neutral,Neutral,1.0,288.0
1544287,1545529,1242,O2,503,obj116cross.jpg,2-,,,,,,CROSS_n,Accept++,,,plus,plus,plus,True,plus,0.196,J_03_045,2.063,Noun,0.0,1,i,Closed,AsymmetricalSameHandshape,Straight,Hand,FingerRadial,1.0,446.0
1546852,1548224,1372,O2,504,obj207hippo.jpg,2+,,,,,,HIPPO_n,Accept++,,,hippo,hippo,hippo,True,hippo,-1.681,C_01_069,0.229,Noun,0.0,y,p,Open,SymmetricalOrAlternating,Curved,Neutral,Neutral,0.0,270.0
1549511,1551040,1529,O2,505,obj059bra.jpg,2+,,,,,,BRA_n,Accept++,,,bra,bra,bra,True,bra,-0.419,A_03_028,1.22,Noun,0.0,l,i,Open,SymmetricalOrAlternating,Straight,Body,TorsoMid,1.0,142.0
1552220,1553648,1428,O2,506,obj130dolphin.jpg,2-,,,,,,DOLPHIN_n,Accept++,,,dolphin,dolphin,dolphin,True,dolphin,-0.787,A_03_057,1.094,Noun,0.0,r,im,Open,OneHanded,Z-shaped,Arm,ArmAway,0.0,7.0
1558027,1559370,1343,O2,508,obj150faucet.jpg,2+,,,,,,FAUCET_n,Accept++,,,faucet,faucet,faucet,True,faucet,-0.884,D_01_065,0.386,Noun,0.0,curved_5,imrp,Open,SymmetricalOrAlternating,,Neutral,Neutral,0.0,195.0
1560970,1562384,1414,O2,509,obj064brush.jpg,1,,,,,,BRUSH_n,Accept++,,,comb_2,comb_2,comb_2,True,comb_2,0.589,K_03_065,0.977,Noun,0.0,baby_o,i,Open,OneHanded,Straight,Head,HeadAway,0.0,353.0
1563837,1565608,1771,O2,510,obj272mountain.jpg,2-,,,,,,MOUNTAIN_n,Accept++,,,mountain,mountain,mountain,True,mountain,0.097,A_01_055,-0.319,Noun,1.0,a,t,Open,AsymmetricalSameHandshape,Straight,Hand,PalmBack,1.0,414.0
1566824,1568638,1814,O2,511,obj520zipper.jpg,2-,,,,,,ZIPPER_n,Accept++,,,zipper,zipper,zipper,True,zipper,-0.556,D_01_034,1.737,Noun,0.0,baby_o,i,Open,DominanceViolation,Straight,Body,Waist,0.0,165.0
1570006,1571764,1758,O2,512,pencil.png,2-,,,,,,PENCIL_n,Accept++,,,pencil,pencil,pencil,True,pencil,0.235,A_02_053,0.384,Noun,1.0,baby_o,i,Open,OneHanded,,Head,Mouth,1.0,242.0
1574559,1576174,1615,O2,513,obj114crackers.jpg,2-,,,,,,CRAKERS_n,Accept++,,,cracker,cracker,cracker,True,cracker,-0.334,C_01_081,-0.815,Noun,0.0,a,t,Open,OneHanded,Straight,Arm,ElbowBack,1.0,107.0
1580517,1581945,1428,O2,515,giraffe.png,1,,,,,,GIRAFFE_n,Accept++,,,giraffe,giraffe,giraffe,True,giraffe,-0.749,A_03_049,0.586,Noun,0.0,c,imrp,Open,AsymmetricalSameHandshape,Straight,Body,BodyAway,0.0,159.0
1582990,1584576,1586,O2,516,obj138drum.jpg,2+,,,NMM,,,DRUM_n,Accept++,,,drum,drum,drum,True,drum,-1.058,A_03_075,1.152,Noun,0.0,baby_o,i,Open,SymmetricalOrAlternating,Curved,Neutral,Neutral,0.0,290.0
1585828,1587342,1514,O2,517,obj471trophy.jpg,2+,,,,,,TROPHY_n,Accept++,,,trophy,trophy,trophy,True,trophy,-0.631,D_02_086,-0.625,Noun,0.0,y,p,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,1.0,466.0
1588560,1590131,1571,O2,518,obj185gorilla.jpg,2+,,,,,,GORILLA_n,Accept++,,,gorilla,gorilla,gorilla,True,gorilla,-0.681,A_02_044,1.819,Noun,0.0,a,t,Open,SymmetricalOrAlternating,Straight,Body,TorsoTop,1.0,192.0
1591462,1592990,1528,O2,519,lamp.png,1,NOUN+CLASSIFIES,,,,,"LIGHT, LAMP_n",Accept++,,,lamp,lamp.1,lamp,True,lamp,0.316,D_03_037,0.28,Noun,0.0,o,imrp,Open,OneHanded,,Neutral,Neutral,0.0,161.0
1594157,1595600,1443,O2,520,obj227kite.jpg,2-,,,,,,KITE_n,Accept++,,,kite,kite.1,kite,True,kite,-0.978,A_02_030,0.731,Noun,0.0,open_b,imrp,Open,AsymmetricalDifferentHandshape,Z-shaped,Hand,FingerTip,1.0,104.0
1596638,1597852,1214,O2,521,obj275mushroom.jpg,2-,,,,,,MUSHROOM_n,Accept++,,,mushroom,mushroom,mushroom,True,mushroom,-0.083,E_02_089,-0.105,Noun,0.0,curved_5,imrp,Open,AsymmetricalDifferentHandshape,Straight,Hand,FingerTip,1.0,414.0
1599292,1600478,1186,O2,522,dog.png,1,,,,,,DOG_n,Accept++,,,dog_3,dog_3,dog_3,True,dog_3,0.621,J_02_068,-0.832,Noun,0.0,d,mrp,Open,OneHanded,,Neutral,Neutral,0.0,124.0
1601688,1603031,1343,O2,523,obj398skateboard.jpg,2+,,,,,,SKATEBOARD_n,Accept++,,,skateboarding,skateboarding.1,skateboarding,True,skateboarding,-1.466,C_02_052,0.9,Verb,0.0,8,m,Open,AsymmetricalDifferentHandshape,,Hand,FingerBack,1.0,54.0
1604176,1605362,1186,O2,524,obj453tie.jpg,1,,,,,,TIE_n,Accept++,,,tie,tie.2,tie,True,tie,-0.751,A_01_013,0.709,Noun,0.0,flat_h,im,Closed,OneHanded,Curved,Body,Clavicle,1.0,88.0
1606929,1608343,1414,O2,525,obj485violin.jpg,2-,,,,,,VIOLIN_m,Accept++,,,violin,violin,violin,True,violin,-1.193,A_03_083,1.621,Noun,0.0,f,i,Open,OneHanded,Straight,Arm,ArmAway,0.0,87.0
1613662,1615219,1557,O2,527,firefighter.png,1,,,,,,FIREFIGHTER_n,Accept++,,,fireman,fireman,fireman,True,fireman,-0.559,A_02_039,-0.481,Noun,0.0,4,imrp,Closed,OneHanded,Straight,Head,Forehead,1.0,327.0
1617086,1618500,1414,O2,528,obj301parachute.jpg,2-,,,,,,PARACHUTE_n,Accept++,,,parachute,parachute,parachute,True,parachute,-1.279,A_01_021,1.302,Verb,0.0,s,imrp,Closed,SymmetryViolation,Straight,Hand,FingerTip,0.0,422.0
